SPACECRAFT DATE/TIME ,   adcs_main ADRW1MTRT,   adcs_main ADRW2MTRT,   adcs_main ADRW3MTRT,   adcs_main ADRW4MTRT
        UTC          ,                     C,                     C,                     C,                     C
  03/06/13 00:00:00.0,   3.2732437618146E+01,   1.6915209414238E+02,   3.4913553336525E+01,   2.8397692084575E+01
  03/06/13 00:05:00.0,   3.2743573496778E+01,   1.6919388434286E+02,   3.4878801250181E+01,   2.8363076326160E+01
  03/06/13 00:10:00.0,   3.2759108578653E+01,   1.6921227715389E+02,   3.4943539341461E+01,   2.8380239612946E+01
  03/06/13 00:15:00.0,   3.2734936125319E+01,   1.6909589009934E+02,   3.4875867285855E+01,   2.8365905740624E+01
  03/06/13 00:20:00.0,   3.2726513716623E+01,   1.6913186427983E+02,   3.4886595408752E+01,   2.8386057400797E+01
  03/06/13 00:25:00.0,   3.2763794593105E+01,   1.6919388434286E+02,   3.4896292766516E+01,   2.8402746402563E+01
  03/06/13 00:30:00.0,   3.2765048277309E+01,   1.6915209414238E+02,   3.4898582564926E+01,   2.8351132032824E+01
  03/06/13 00:35:00.0,   3.2772439670036E+01,   1.6915461265868E+02,   3.4954644875446E+01,   2.8351742829601E+01
  03/06/13 00:40:00.0,   3.2753191012313E+01,   1.6919217393537E+02,   3.4949529623113E+01,   2.8397677862449E+01
  03/06/13 00:45:00.0,   3.2769570290041E+01,   1.6915461265868E+02,   3.4890469742864E+01,   2.8368747056358E+01
  03/06/13 00:50:00.0,   3.2759122809166E+01,   1.6921240379792E+02,   3.4904572849305E+01,   2.8359857844564E+01
  03/06/13 00:55:00.0,   3.2821516134353E+01,   1.6919388434286E+02,   3.4983822535969E+01,   2.8363077355283E+01
  03/06/13 01:00:00.0,   3.2797646242597E+01,   1.6915196749835E+02,   3.5012455610838E+01,   2.8406416815577E+01
  03/06/13 01:05:00.0,   3.2763794605650E+01,   1.6917418684512E+02,   3.4963409881678E+01,   2.8385733271843E+01
  03/06/13 01:10:00.0,   3.2750239301700E+01,   1.6909165784281E+02,   3.4958528234075E+01,   2.8397693328148E+01
