SPACECRAFT DATE/TIME ,   adcs_main ADRW1TRQF,   adcs_main ADRW2TRQF,   adcs_main ADRW3TRQF,   adcs_main ADRW4TRQF
        UTC          ,                    DN,                    DN,                    DN,                    DN
  06/28/12 00:01:22.0,   4.4210479129106E-03,   2.2863021295052E-03,   5.6588372681290E-04,  -5.9741759614553E-04
  06/28/12 00:06:22.0,   4.4285181718759E-03,   2.2969332595284E-03,   5.6614774094226E-04,  -6.0119106320855E-04
  06/28/12 00:11:22.0,   4.4334546113626E-03,   2.3088479020561E-03,   5.5901255333223E-04,  -6.0934312820721E-04
  06/28/12 00:16:22.0,   4.4481988685826E-03,   2.3103671757361E-03,   5.5535355260452E-04,  -6.1106527498804E-04
  06/28/12 00:21:22.0,   4.4597659842111E-03,   2.3183718498331E-03,   5.4936388623901E-04,  -6.1157131422078E-04
  06/28/12 00:26:22.0,   4.4670785213576E-03,   2.3290082432428E-03,   5.3590317838825E-04,  -6.1338008718418E-04
  06/28/12 00:31:22.0,   4.4834324857220E-03,   2.3324019508436E-03,   5.3272222285159E-04,  -6.1508255748777E-04
  06/28/12 00:36:22.0,   4.4886342799052E-03,   2.3418183510120E-03,   5.2749391985484E-04,  -6.1915086086792E-04
  06/28/12 00:41:22.0,   4.4964089726981E-03,   2.3511119473439E-03,   5.2486590515727E-04,  -6.2373085454918E-04
  06/28/12 00:46:22.0,   4.5049355054895E-03,   2.3526668441124E-03,   5.1762498109243E-04,  -6.2725796268728E-04
  06/28/12 00:51:22.0,   4.5192532590590E-03,   2.3638881801162E-03,   5.1342991355341E-04,  -6.3083854620345E-04
  06/28/12 00:56:22.0,   4.5273356954567E-03,   2.3698974691797E-03,   5.1253515630378E-04,  -6.3299630346592E-04
  06/28/12 01:01:22.0,   4.5378548093140E-03,   2.3736471775919E-03,   5.0614535575733E-04,  -6.6322495695204E-04
  06/28/12 01:06:22.0,   4.5378548093140E-03,   2.4085538461804E-03,   5.0614535575733E-04,  -6.4577168086544E-04
  06/28/12 01:11:22.0,   4.5727617107332E-03,   2.3736471775919E-03,   4.8869207967073E-04,  -6.6322495695204E-04
  06/28/12 01:16:22.0,   4.5378548093140E-03,   2.3911005118862E-03,   4.8869207967073E-04,  -6.6322495695204E-04
