SPACECRAFT DATE/TIME ,   adcs_main ADRW1MTRT,   adcs_main ADRW2MTRT,   adcs_main ADRW3MTRT,   adcs_main ADRW4MTRT
        UTC          ,                     C,                     C,                     C,                     C
  01/28/13 00:00:00.0,   2.7680557602613E+01,   1.6921706363449E+02,   3.2683684668904E+01,   3.0908363739530E+01
  01/28/13 00:05:00.0,   2.7686680483640E+01,   1.6925248359091E+02,   3.2694663575610E+01,   3.0935092306221E+01
  01/28/13 00:10:00.0,   2.7626839920165E+01,   1.6921706363449E+02,   3.2709791928221E+01,   3.0944607662323E+01
  01/28/13 00:15:00.0,   2.7574274976064E+01,   1.6921788735440E+02,   3.2735484088908E+01,   3.1000861829893E+01
  01/28/13 00:20:00.0,   2.7493881741309E+01,   1.6914633528899E+02,   3.2793342093284E+01,   3.1050798385193E+01
  01/28/13 00:25:00.0,   2.7506836939038E+01,   1.6925248359091E+02,   3.2863020085619E+01,   3.1074223108910E+01
  01/28/13 00:30:00.0,   2.7491333858229E+01,   1.6925248359091E+02,   3.2795970200552E+01,   3.1118142814889E+01
  01/28/13 00:35:00.0,   2.7439426028960E+01,   1.6923518547266E+02,   3.2842609092509E+01,   3.1124841212788E+01
  01/28/13 00:40:00.0,   2.7424854714181E+01,   1.6921706363449E+02,   3.2900445270340E+01,   3.1167376077694E+01
  01/28/13 00:45:00.0,   2.7349552298346E+01,   1.6921788735440E+02,   3.2875789832033E+01,   3.1221020378203E+01
  01/28/13 00:50:00.0,   2.7343071506822E+01,   1.6923477361270E+02,   3.2923981559843E+01,   3.1201076836862E+01
  01/28/13 00:55:00.0,   2.7327083092948E+01,   1.6918329111789E+02,   3.2962554305650E+01,   3.1281820269980E+01
  01/28/13 01:00:00.0,   2.7271523483578E+01,   1.6923477361270E+02,   3.3018066926719E+01,   3.1286651454608E+01
  01/28/13 01:05:00.0,   2.7248531688477E+01,   1.6918164367806E+02,   3.3018083751470E+01,   3.1338505634299E+01
  01/28/13 01:10:00.0,   2.7212763439513E+01,   1.6919935365627E+02,   3.3062529752633E+01,   3.1346274152799E+01
  01/28/13 01:15:00.0,   2.7169864156689E+01,   1.6923518547266E+02,   3.3069811808619E+01,   3.1380598383183E+01
  01/28/13 01:20:00.0,   2.7161669285980E+01,   1.6925248359091E+02,   3.3107003829533E+01,   3.1434487806368E+01
  01/28/13 01:25:00.0,   2.7144919618467E+01,   1.6916599299964E+02,   3.3149024295468E+01,   3.1481983457557E+01
  01/28/13 01:30:00.0,   2.7110584518475E+01,   1.6918164367806E+02,   3.3161920742337E+01,   3.1447481831322E+01
  01/28/13 01:35:00.0,   2.7100014208326E+01,   1.6920058923615E+02,   3.3230830179278E+01,   3.1555508541914E+01
  01/28/13 01:40:00.0,   2.7087592543869E+01,   1.6916393369984E+02,   3.3256129837644E+01,   3.1577291928220E+01
  01/28/13 01:45:00.0,   2.7065086270285E+01,   1.6918329111789E+02,   3.3266602848296E+01,   3.1611311797093E+01
  01/28/13 01:50:00.0,   2.7031406060762E+01,   1.6923477361270E+02,   3.3318959938857E+01,   3.1574672869772E+01
  01/28/13 01:55:00.0,   2.7002725761252E+01,   1.6909690949938E+02,   3.3351016070657E+01,   3.1677264489385E+01
  01/28/13 02:00:00.0,   2.6990545421959E+01,   1.6912851374341E+02,   3.3373965833132E+01,   3.1699324054337E+01
  01/28/13 02:05:00.0,   2.6949009994207E+01,   1.6919805780421E+02,   3.3339032771758E+01,   3.1727784746400E+01
  01/28/13 02:10:00.0,   2.6965020947841E+01,   1.6918164367806E+02,   3.3410644006871E+01,   3.1720109193396E+01
  01/28/13 02:15:00.0,   2.6937882170732E+01,   1.6925248359091E+02,   3.3420067406086E+01,   3.1783854215227E+01
  01/28/13 02:20:00.0,   2.6921611237261E+01,   1.6919935365627E+02,   3.3481366383826E+01,   3.1816285019370E+01
  01/28/13 02:25:00.0,   2.6911397738341E+01,   1.6914622372163E+02,   3.3491864381451E+01,   3.1863062794818E+01
  01/28/13 02:30:00.0,   2.6873104731932E+01,   1.6919935365627E+02,   3.3531189485456E+01,   3.1894264331963E+01
  01/28/13 02:35:00.0,   2.6870553640943E+01,   1.6923518547266E+02,   3.3548057712466E+01,   3.1928616742834E+01
  01/28/13 02:40:00.0,   2.6809289657956E+01,   1.6923477361270E+02,   3.3575752957249E+01,   3.1930674947518E+01
  01/28/13 02:45:00.0,   2.6798246901380E+01,   1.6920058923615E+02,   3.3647945574259E+01,   3.1999761497592E+01
  01/28/13 02:50:00.0,   2.6832259300097E+01,   1.6921706363449E+02,   3.3638668276116E+01,   3.2024326769151E+01
  01/28/13 02:55:00.0,   2.6810709407699E+01,   1.6920058923615E+02,   3.3673567040379E+01,   3.2076005995683E+01
  01/28/13 03:00:00.0,   2.6786314311723E+01,   1.6918164367806E+02,   3.3667521076727E+01,   3.2045135900380E+01
  01/28/13 03:05:00.0,   2.6788276155181E+01,   1.6923518547266E+02,   3.3727373101560E+01,   3.2081100497960E+01
  01/28/13 03:10:00.0,   2.6750584502989E+01,   1.6916393369984E+02,   3.3764610339151E+01,   3.2133639380948E+01
  01/28/13 03:15:00.0,   2.6730940532857E+01,   1.6918329111789E+02,   3.3781183353621E+01,   3.2131938546361E+01
  01/28/13 03:20:00.0,   2.6773553889277E+01,   1.6918164367806E+02,   3.3801349920154E+01,   3.2175302438605E+01
  01/28/13 03:25:00.0,   2.6718476381201E+01,   1.6916621094517E+02,   3.3845290827031E+01,   3.2213319846126E+01
  01/28/13 03:30:00.0,   2.6707193220264E+01,   1.6923477361270E+02,   3.3895840907603E+01,   3.2271690396731E+01
  01/28/13 03:35:00.0,   2.6683580912100E+01,   1.6923518547266E+02,   3.3953007870477E+01,   3.2315115399596E+01
  01/28/13 03:40:00.0,   2.6730161063459E+01,   1.6919935365627E+02,   3.3985153831858E+01,   3.2297726080473E+01
  01/28/13 03:45:00.0,   2.6704648711653E+01,   1.6923477361270E+02,   3.3987775123241E+01,   3.2383728778188E+01
  01/28/13 03:50:00.0,   2.6638297480182E+01,   1.6916404526720E+02,   3.4011432628777E+01,   3.2373295654082E+01
  01/28/13 03:55:00.0,   2.6673608091629E+01,   1.6923518547266E+02,   3.4022304739248E+01,   3.2406760570236E+01
  01/28/13 04:00:00.0,   2.6696982372152E+01,   1.6918164367806E+02,   3.4079758191129E+01,   3.2472356615474E+01
  01/28/13 04:05:00.0,   2.6666135792401E+01,   1.6916599299964E+02,   3.4155808769135E+01,   3.2444955993299E+01
  01/28/13 04:10:00.0,   2.6643410196719E+01,   1.6919935365627E+02,   3.4177042839877E+01,   3.2521929137154E+01
  01/28/13 04:15:00.0,   2.6623757192905E+01,   1.6921788735440E+02,   3.4173780114553E+01,   3.2534094915159E+01
  01/28/13 04:20:00.0,   2.6630640224915E+01,   1.6921706363449E+02,   3.4213844130314E+01,   3.2537549271992E+01
  01/28/13 04:25:00.0,   2.6656161041084E+01,   1.6918329111789E+02,   3.4266240598329E+01,   3.2613094488367E+01
  01/28/13 04:30:00.0,   2.6635741849519E+01,   1.6921706363449E+02,   3.4342739486440E+01,   3.2675851775470E+01
  01/28/13 04:35:00.0,   2.6676094905404E+01,   1.6916599299964E+02,   3.4309934508437E+01,   3.2661561523002E+01
  01/28/13 04:40:00.0,   2.6620436370947E+01,   1.6919538688769E+02,   3.4374716738714E+01,   3.2720447696412E+01
  01/28/13 04:45:00.0,   2.6631235264678E+01,   1.6921788735440E+02,   3.4420500211885E+01,   3.2773730895070E+01
  01/28/13 04:50:00.0,   2.6651052722986E+01,   1.6921706363449E+02,   3.4458570496386E+01,   3.2795977215610E+01
  01/28/13 04:55:00.0,   2.6606305845352E+01,   1.6918329111789E+02,   3.4443630127176E+01,   3.2834965169998E+01
  01/28/13 05:00:00.0,   2.6635747090317E+01,   1.6921706363449E+02,   3.4516513459557E+01,   3.2874344987471E+01
  01/28/13 05:05:00.0,   2.6666366099887E+01,   1.6916393369984E+02,   3.4524406032075E+01,   3.2890016372068E+01
  01/28/13 05:10:00.0,   2.6643398000324E+01,   1.6918164367806E+02,   3.4582379386798E+01,   3.2963165485830E+01
  01/28/13 05:15:00.0,   2.6643694497413E+01,   1.6914869488138E+02,   3.4628879762091E+01,   3.2990651576885E+01
  01/28/13 05:20:00.0,   2.6661261855212E+01,   1.6918164367806E+02,   3.4714147426965E+01,   3.3023315031577E+01
  01/28/13 05:25:00.0,   2.6708509756180E+01,   1.6913139676312E+02,   3.4742182391553E+01,   3.3080042027582E+01
  01/28/13 05:30:00.0,   2.6740372464637E+01,   1.6921706363449E+02,   3.4798523929567E+01,   3.3151483649409E+01
  01/28/13 05:35:00.0,   2.6773317256356E+01,   1.6918329111789E+02,   3.4832335382106E+01,   3.3110707790912E+01
  01/28/13 05:40:00.0,   2.6737820385198E+01,   1.6918164367806E+02,   3.4827545382006E+01,   3.3054685642301E+01
  01/28/13 05:45:00.0,   2.6646185604993E+01,   1.6909680052661E+02,   3.4881310975928E+01,   3.3057046079695E+01
  01/28/13 05:50:00.0,   2.6584709992402E+01,   1.6919935365627E+02,   3.4898821795939E+01,   3.2991930266136E+01
  01/28/13 05:55:00.0,   2.6516597001276E+01,   1.6909680052661E+02,   3.4966391676815E+01,   3.2970231012464E+01
  01/28/13 06:00:00.0,   2.6467355631351E+01,   1.6912851374341E+02,   3.4985916614564E+01,   3.2952715563881E+01
  01/28/13 06:05:00.0,   2.6469905531979E+01,   1.6912862531077E+02,   3.5022884271730E+01,   3.2960558272105E+01
  01/28/13 06:10:00.0,   2.6337465152162E+01,   1.6908083303284E+02,   3.5064727167578E+01,   3.2903280276077E+01
  01/28/13 06:15:00.0,   2.6303718743438E+01,   1.6905674172644E+02,   3.5088928820707E+01,   3.2905283872115E+01
  01/28/13 06:20:00.0,   2.6239185896698E+01,   1.6905157804981E+02,   3.5123386227667E+01,   3.2919233923768E+01
  01/28/13 06:25:00.0,   2.6196602478856E+01,   1.6905686503773E+02,   3.5121016390214E+01,   3.2867740318944E+01
  01/28/13 06:30:00.0,   2.6152348194934E+01,   1.6899126839427E+02,   3.5174367877820E+01,   3.2871773158858E+01
  01/28/13 06:35:00.0,   2.6123327823515E+01,   1.6909589009934E+02,   3.5170666056986E+01,   3.2919721542464E+01
  01/28/13 06:40:00.0,   2.6042366291401E+01,   1.6913186427983E+02,   3.5228375993773E+01,   3.2939993640495E+01
  01/28/13 06:45:00.0,   2.5993703276377E+01,   1.6903716753999E+02,   3.5205729290979E+01,   3.2885058075605E+01
  01/28/13 06:50:00.0,   2.5923722477550E+01,   1.6905145140578E+02,   3.5297389470845E+01,   3.2877716045890E+01
  01/28/13 06:55:00.0,   2.5872552679736E+01,   1.6903716753999E+02,   3.5272904169637E+01,   3.2902374374083E+01
  01/28/13 07:00:00.0,   2.5828239193686E+01,   1.6901137161278E+02,   3.5315409756106E+01,   3.2859915880946E+01
  01/28/13 07:05:00.0,   2.5765500192381E+01,   1.6901759335355E+02,   3.5322598766235E+01,   3.2870604970440E+01
  01/28/13 07:10:00.0,   2.5729868473619E+01,   1.6907155462429E+02,   3.5345435322082E+01,   3.2898482174232E+01
  01/28/13 07:15:00.0,   2.5644372728219E+01,   1.6907643922418E+02,   3.5392755748683E+01,   3.2902377466942E+01
  01/28/13 07:20:00.0,   2.5634402293648E+01,   1.6903134818727E+02,   3.5381457760405E+01,   3.2862897607309E+01
  01/28/13 07:25:00.0,   2.5531707555141E+01,   1.6890014823486E+02,   3.5398620486315E+01,   3.2864861662544E+01
  01/28/13 07:30:00.0,   2.5504228176212E+01,   1.6897103853173E+02,   3.5462557282037E+01,   3.2842120477780E+01
  01/28/13 07:35:00.0,   2.5421864368508E+01,   1.6893929660776E+02,   3.5483412031150E+01,   3.2864849315580E+01
  01/28/13 07:40:00.0,   2.5368277843141E+01,   1.6903134818727E+02,   3.5453571864287E+01,   3.2898475804248E+01
  01/28/13 07:45:00.0,   2.5312026252563E+01,   1.6884142567552E+02,   3.5512665104738E+01,   3.2882176365943E+01
  01/28/13 07:50:00.0,   2.5264150789962E+01,   1.6905145140578E+02,   3.5525634871488E+01,   3.2886616906205E+01
  01/28/13 07:55:00.0,   2.5213458658221E+01,   1.6893929660776E+02,   3.5553636418596E+01,   3.2856193433713E+01
  01/28/13 08:00:00.0,   2.5174489275041E+01,   1.6907155462429E+02,   3.5579733633793E+01,   3.2907357606496E+01
  01/28/13 08:05:00.0,   2.5109259962697E+01,   1.6909589009934E+02,   3.5579995636932E+01,   3.2890826101949E+01
  01/28/13 08:10:00.0,   2.5029874749856E+01,   1.6899114175024E+02,   3.5543665045390E+01,   3.2883674836204E+01
  01/28/13 08:15:00.0,   2.5013510461234E+01,   1.6897844498065E+02,   3.5620949298625E+01,   3.2885045727391E+01
  01/28/13 08:20:00.0,   2.4919967189783E+01,   1.6905145140578E+02,   3.5633835690618E+01,   3.2880681963195E+01
  01/28/13 08:25:00.0,   2.4872700700734E+01,   1.6893929660776E+02,   3.5647297279953E+01,   3.2844634368886E+01
  01/28/13 08:30:00.0,   2.4862121178220E+01,   1.6885041922065E+02,   3.5642855721009E+01,   3.2895511437471E+01
  01/28/13 08:35:00.0,   2.4805111448688E+01,   1.6897844498065E+02,   3.5653152384490E+01,   3.2905265350426E+01
  01/28/13 08:40:00.0,   2.4729069654591E+01,   1.6891072887619E+02,   3.5672920841404E+01,   3.2842120471988E+01
  01/28/13 08:45:00.0,   2.4700907162372E+01,   1.6903716753999E+02,   3.5673630824231E+01,   3.2838857076240E+01
  01/28/13 08:50:00.0,   2.4639398950562E+01,   1.6889062565767E+02,   3.5696998970140E+01,   3.2862888114725E+01
  01/28/13 08:55:00.0,   2.4579798029191E+01,   1.6888057404842E+02,   3.5697068899808E+01,   3.2864847712647E+01
  01/28/13 09:00:00.0,   2.4529478025192E+01,   1.6879010956511E+02,   3.5715019261052E+01,   3.2916266422759E+01
  01/28/13 09:05:00.0,   2.4486849486524E+01,   1.6899814247839E+02,   3.5682439151955E+01,   3.2861938320068E+01
  01/28/13 09:10:00.0,   2.4431120505252E+01,   1.6907155462429E+02,   3.5751142214874E+01,   3.2827297314187E+01
  01/28/13 09:15:00.0,   2.4357271425375E+01,   1.6890014823486E+02,   3.5717568191495E+01,   3.2861955287500E+01
  01/28/13 09:20:00.0,   2.4355897034016E+01,   1.6891098216424E+02,   3.5754137355148E+01,   3.2848080777908E+01
  01/28/13 09:25:00.0,   2.4306559665271E+01,   1.6899801916710E+02,   3.5761510370419E+01,   3.2850410007448E+01
  01/28/13 09:30:00.0,   2.4219909207468E+01,   1.6887064908319E+02,   3.5760172116064E+01,   3.2883641514684E+01
