SPACECRAFT DATE/TIME ,   adcs_main ADRW1MTRT,   adcs_main ADRW2MTRT,   adcs_main ADRW3MTRT,   adcs_main ADRW4MTRT
        UTC          ,                     C,                     C,                     C,                     C
  04/08/13 00:03:01.0,   3.2137572110082E+01,   1.6925248359091E+02,   1.9898756556726E+01,   1.7150261837287E+01
  04/08/13 00:08:01.0,   3.2184467931927E+01,   1.6923290940447E+02,   1.9898167077143E+01,   1.7131110599775E+01
  04/08/13 00:13:01.0,   3.2170081146641E+01,   1.6925248359091E+02,   1.9913489460516E+01,   1.7119758174437E+01
  04/08/13 00:18:01.0,   3.2195982671375E+01,   1.6925248359091E+02,   1.9898202086219E+01,   1.7190646743794E+01
  04/08/13 00:23:01.0,   3.2193728420588E+01,   1.6925248359091E+02,   1.9898735625694E+01,   1.7110534503773E+01
  04/08/13 00:28:01.0,   3.2195979680992E+01,   1.6925248359091E+02,   1.9949946847546E+01,   1.7196606528663E+01
  04/08/13 00:33:01.0,   3.2199647556645E+01,   1.6923238037240E+02,   1.9946016926773E+01,   1.7174724723535E+01
  04/08/13 00:38:01.0,   3.2201747634204E+01,   1.6925248359091E+02,   1.9895317142151E+01,   1.7169818398154E+01
  04/08/13 00:43:01.0,   3.2190779637075E+01,   1.6925248359091E+02,   1.9951890549821E+01,   1.7220463352515E+01
  04/08/13 00:48:01.0,   3.2172960722837E+01,   1.6921333521802E+02,   1.9929796599856E+01,   1.7187662190540E+01
  04/08/13 00:53:01.0,   3.2152348434048E+01,   1.6923238037240E+02,   1.9880986450404E+01,   1.7180892644751E+01
  04/08/13 00:58:01.0,   3.2193100982915E+01,   1.6925248359091E+02,   1.9967216469661E+01,   1.7166792476338E+01
  04/08/13 01:03:01.0,   3.2181905526497E+01,   1.6921227715389E+02,   1.9951896213040E+01,   1.7199181538192E+01
  04/08/13 01:08:01.0,   3.2181596755923E+01,   1.6923290940447E+02,   1.9973006339508E+01,   1.7229319088575E+01
  04/08/13 01:13:01.0,   3.2214426926985E+01,   1.6925248359091E+02,   1.9910477457633E+01,   1.7193066002156E+01
  04/08/13 01:18:01.0,   3.2109646201068E+01,   1.6923290940447E+02,   1.9981609620185E+01,   1.7241145965660E+01
  04/08/13 01:23:01.0,   3.2175992597058E+01,   1.6923238037240E+02,   1.9972633747142E+01,   1.7220525319871E+01
  04/08/13 01:28:01.0,   3.2167201884527E+01,   1.6925248359091E+02,   1.9941340530874E+01,   1.7256019918224E+01
  04/08/13 01:33:01.0,   3.2158262923743E+01,   1.6921227715389E+02,   1.9937118734547E+01,   1.7235775504340E+01
  04/08/13 01:38:01.0,   3.2170088028328E+01,   1.6925248359091E+02,   1.9958555881468E+01,   1.7258948490767E+01
  04/08/13 01:43:01.0,   3.2190778109454E+01,   1.6925248359091E+02,   1.9931263417536E+01,   1.7324301793968E+01
  04/08/13 01:48:01.0,   3.2152833981142E+01,   1.6921333521802E+02,   1.9958567072902E+01,   1.7241177171957E+01
  04/08/13 01:53:01.0,   3.2152356103373E+01,   1.6925248359091E+02,   1.9940067047604E+01,   1.7324110441232E+01
  04/08/13 01:58:01.0,   3.2144175381838E+01,   1.6923290940447E+02,   2.0018987048502E+01,   1.7297580088306E+01
  04/08/13 02:03:01.0,   3.2184854326682E+01,   1.6919217393537E+02,   2.0008043196671E+01,   1.7339469984455E+01
  04/08/13 02:08:01.0,   3.2187345135326E+01,   1.6921333521802E+02,   2.0007461889079E+01,   1.7303519240585E+01
  04/08/13 02:13:01.0,   3.2158252111203E+01,   1.6925248359091E+02,   2.0049359015910E+01,   1.7345534505897E+01
  04/08/13 02:18:01.0,   3.2164341174340E+01,   1.6915461265868E+02,   2.0010360748228E+01,   1.7315358564740E+01
