SPACECRAFT DATE/TIME ,   adcs_main ADRW1TRQF,   adcs_main ADRW2TRQF,   adcs_main ADRW3TRQF,   adcs_main ADRW4TRQF
        UTC          ,                    DN,                    DN,                    DN,                    DN
  05/04/13 00:40:00.0,   0.0000000000000E+00,   0.0000000000000E+00,   0.0000000000000E+00,   0.0000000000000E+00
  05/04/13 00:45:00.0,   0.0000000000000E+00,   0.0000000000000E+00,   0.0000000000000E+00,   0.0000000000000E+00
  05/04/13 00:55:00.0,   0.0000000000000E+00,   0.0000000000000E+00,   0.0000000000000E+00,   0.0000000000000E+00
  05/04/13 01:00:00.0,  -2.5307276519015E-03,   0.0000000000000E+00,  -3.8397239404730E-04,  -2.5830875383690E-03
  05/04/13 01:05:00.0,  -2.6994254440069E-03,   0.0000000000000E+00,  -1.3962797917581E-04,  -2.6645183873673E-03
  05/04/13 01:10:00.0,  -2.6878071948886E-03,   0.0000000000000E+00,  -1.7453293548897E-04,  -2.6703538605943E-03
  05/04/13 01:15:00.0,  -2.6761714058618E-03,   0.0000000000000E+00,  -1.8616844802940E-04,  -2.6761714058618E-03
  05/04/13 01:20:00.0,  -2.6703538605943E-03,   0.0000000000000E+00,  -1.9198623340344E-04,  -2.6703539770097E-03
  05/04/13 01:25:00.0,  -2.6529405731708E-03,   0.0000000000000E+00,  -1.9780715228990E-04,  -2.6528427066902E-03
  05/04/13 01:30:00.0,  -2.6179939741269E-03,   0.0000000000000E+00,  -2.2689282195643E-04,  -2.6529006427154E-03
  05/04/13 01:35:00.0,  -2.5947226677090E-03,   0.0000000000000E+00,  -2.4434608834175E-04,  -2.6645359272758E-03
  05/04/13 01:40:00.0,  -2.6005406398326E-03,   0.0000000000000E+00,  -2.4434611259494E-04,  -2.6529006427154E-03
  05/04/13 01:45:00.0,  -2.5831263822814E-03,   0.0000000000000E+00,  -2.5593665971731E-04,  -2.6645273901522E-03
  05/04/13 01:50:00.0,  -2.5656340876594E-03,   0.0000000000000E+00,  -2.9670598451048E-04,  -2.6529006427154E-03
  05/04/13 01:55:00.0,  -2.5249095633626E-03,   0.0000000000000E+00,  -2.9088819671112E-04,  -2.6529003710796E-03
  05/04/13 02:00:00.0,  -2.5307276519015E-03,   0.0000000000000E+00,  -2.9670598451048E-04,  -2.6703539770097E-03
  05/04/13 02:05:00.0,  -2.5365344869594E-03,   0.0000000000000E+00,  -3.1416401422272E-04,  -2.6645273901522E-03
  05/04/13 02:10:00.0,  -2.4958209833130E-03,   0.0000000000000E+00,  -3.4906587097794E-04,  -2.6529006427154E-03
  05/04/13 02:15:00.0,  -2.6994425958643E-03,   0.0000000000000E+00,  -3.4906584187411E-04,  -2.8623399169495E-03
  05/04/13 02:20:00.0,  -3.4557521576062E-03,   0.0000000000000E+00,  -3.1415928970091E-04,  -3.6302851513028E-03
  05/04/13 02:25:00.0,  -3.4791128709912E-03,   0.0000000000000E+00,  -2.5598450156394E-04,  -3.7117283015201E-03
